op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,LPU_expert0_up_linear,GEMM,0-255,256,output_split,previous=external/input,LPU_expert0_gate_up=expert_intermediate2@0-255,0.000000000,0.000224000,0.000343240,0.000000000,86016.0,0.0,7192.0,86016.0,0.0,7192.0,0.000000000,0.000343240,0.000343240,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,local_dram,previous:none,none,{'meaning': 'split N/output features; column parallel'}
1,LPU_expert0_silu_mul,ELEMENTWISE,0-7,8,expert_intermediate_split,LPU_expert0_gate_up=expert_intermediate2@0-255,LPU_expert0_activation=expert_intermediate@0-7,0.000087000,0.000006000,0.000000000,0.000000000,0.0,0.0,768.0,86016.0,0.0,7192.0,0.000000000,0.000006000,0.000093000,0.000430240,0.000087000,0.000000000,0.036337057,,0,0.000000000,0.000093000,compute,LPU_expert0_gate_up:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
2,LPU_expert0_down_linear,GEMM,0-255,256,output_split,LPU_expert0_activation=expert_intermediate@0-7,LPU_expert0_routed_output=hidden@0-255,0.000024000,0.000096000,0.000171620,0.000000000,43008.0,0.0,3100.0,129024.0,0.0,7192.0,0.000097500,0.000193500,0.000217500,0.000460240,0.000117000,0.000117000,0.048867077,,0,0.000000000,0.000138880,communication,LPU_expert0_activation:allgather(previous_shards_to_replicated+redundant_compute_representative_group),gather(output_for_remote),{'meaning': 'split N/output features; column parallel'}
