noc_package_size_bytes,spec0_alpha3,spec0_alpha10,spec7_alpha3,spec7_alpha10
16,0.465016655,0.527246282,0.402890318,0.418151374
32,0.412689445,0.471803979,0.358248170,0.374049216
64,0.384598145,0.445507183,0.336202399,0.350382098
128,0.373048684,0.431142013,0.320763200,0.339028034
