op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,LPU_expert0_up_linear,GEMM,0-127,128,output_split,previous=external/input,LPU_expert0_gate_up=expert_intermediate2@0-127,0.000000000,0.000336000,0.000822500,0.000000000,172032.0,0.0,7216.0,172032.0,0.0,7216.0,0.000000000,0.000822500,0.000822500,0.000000000,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,previous:none,none,{'meaning': 'split N/output features; column parallel'}
1,LPU_expert0_silu_mul,ELEMENTWISE,0-3,4,expert_intermediate_split,LPU_expert0_gate_up=expert_intermediate2@0-127,LPU_expert0_activation=expert_intermediate@0-3,0.000065000,0.000012000,0.000000000,0.000000000,0.0,0.0,1536.0,172032.0,0.0,7216.0,0.000000000,0.000012000,0.000077000,0.000887500,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000000000,compute,LPU_expert0_gate_up:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
2,LPU_expert0_down_linear,GEMM,0-127,128,output_split,LPU_expert0_activation=expert_intermediate@0-3,LPU_expert0_routed_output=hidden@0-127,0.000027000,0.000192000,0.000486500,0.000000000,86016.0,0.0,3128.0,258048.0,0.0,7216.0,0.000099500,0.000586000,0.000613000,0.000926500,0.000000000,0.000000000,0.000000000,,1,0.000100000,0.000000000,local_dram,LPU_expert0_activation:allgather(previous_shards_to_replicated+redundant_compute_representative_group),gather(output_for_remote),{'meaning': 'split N/output features; column parallel'}
