op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-63,64,2d_batch_hidden:8x8,residual=<missing>,"ATTN_x_rsqrt=2d:batch_size,hidden@0-63",0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,0.0,0.0,7168.0,0.000082052,0.000117052,0.000117052,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000117052,communication,residual:none(missing_input),allreduce(rms_stats_per_batch_shard),{'meaning': 'split batch and hidden; approximate allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-63,64,input_split,residual=<missing>,ATTN_F=replicated@0-63,0.000000000,0.000028000,0.000042905,0.000000000,10752.0,0.0,3776.0,10752.0,0.0,7168.0,0.000092500,0.000120500,0.000120500,0.000117052,0.000117052,0.000042905,0.048888831,,0,0.000000000,0.000194647,communication,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,batch_split,"ATTN_F=replicated@0-63; ATTN_x_rsqrt=2d:batch_size,hidden@0-63",ATTN_pre_post_comb=batch_size@0,0.000127000,0.000000500,0.000000000,0.000000000,0.0,0.0,384.0,10752.0,0.0,7168.0,0.000000000,0.000000500,0.000127500,0.000364552,0.000321647,0.000000000,0.134341494,,0,0.000000000,0.000322147,compute,ATTN_F:none(replicated_local_slice+redundant_compute_representative_group); ATTN_x_rsqrt:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split batch/tokens; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-63,64,hidden_split,previous=batch_size@0,chain_output=hidden@0-63,0.000000000,0.000007000,0.000000000,0.000000000,0.0,0.0,7168.0,10752.0,0.0,7168.0,0.000000000,0.000007000,0.000007000,0.000365052,0.000322147,0.000000000,0.134550328,,0,0.000000000,0.000329147,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-63,64,hidden_split,previous=hidden@0-63,chain_output=hidden@0-63,0.000000000,0.000005500,0.000000000,0.000000000,0.0,0.0,4480.0,10752.0,0.0,7168.0,0.000000000,0.000005500,0.000005500,0.000372052,0.000329147,0.000000000,0.137473999,,0,0.000000000,0.000334647,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0-7,8,batch_split,previous=hidden@0-63,attn_norm_output=batch_size@0-7,0.000064000,0.000070000,0.000000000,0.000000000,0.0,0.0,14336.0,10752.0,0.0,14336.0,0.000000000,0.000070000,0.000134000,0.000441552,0.000398647,0.000000000,0.166501878,,0,0.000000000,0.000468647,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split batch/tokens; full hidden per core'}
6,0_q_a_linear,GEMM,0-127,128,2d_batch_output:2x64,attn_norm_output=batch_size@0-7,"chain_output=2d:batch_size,q_lora_rank@0-127",0.000000000,0.000224000,0.000686479,0.000000000,172032.0,0.0,28768.0,182784.0,0.0,28768.0,0.000000000,0.000224000,0.000224000,0.000511552,0.000468647,0.000468647,0.195738591,,0,0.000000000,0.000006168,compute,attn_norm_output:none(compatible_shards+redundant_compute_representative_group),none,{'meaning': 'coarse 2D split on M and N; layout conversion may cost later'}
7,0_q_norm,RMSNORM,0-63,64,hidden_split,"previous=2d:batch_size,q_lora_rank@0-127",q_lora_normed=q_lora_rank@0-63,0.000067750,0.000002000,0.000000000,0.000000000,0.0,0.0,384.0,182784.0,0.0,28768.0,0.000082417,0.000084417,0.000152167,0.000803302,0.000073918,0.000000000,0.030873034,,0,0.000000000,0.000158334,communication,previous:alltoall_reshuffle(sharded_to_sharded),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
8,0_q_b_linear,GEMM,0-127,128,output_split,q_lora_normed=q_lora_rank@0-63,chain_output=heads*head_dim@0-127,0.000130500,0.001536000,0.003138191,0.000000000,786432.0,0.0,16384.0,969216.0,0.0,28768.0,0.000000000,0.002849357,0.002979857,0.001018219,0.000288834,0.000288834,0.120636703,,0,0.000000000,0.000000000,local_dram,q_lora_normed:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-127,128,hidden_split,previous=heads*head_dim@0-127,query_heads_normed=heads*head_dim@0-127,0.000000000,0.000040000,0.000000000,0.000000000,0.0,0.0,8192.0,969216.0,0.0,28768.0,0.000110486,0.000150486,0.000150486,0.003867576,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000150486,communication,previous:none(compatible_shards),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
