op_index,op_name,transform_start_ms,dram_start_ms,dram_end_ms,compute_start_ms,op_end_ms
0,0_ATTN_x_rsqrt,0.0,0.0,0.0,0.0,0.000117052
1,0_ATTN_hc_fn_linear,0.000117052,0.0,4.2905e-05,0.000117052,0.000237552
2,0_ATTN_F_rsqrt,0.000237552,0.0,4.2905e-05,0.000364552,0.000365052
3,0_ATTN_pre_x,0.000365052,0.0,4.2905e-05,0.000365052,0.000379052
4,0_ATTN_pre_x_reducesum,0.000379052,0.0,4.2905e-05,0.000379052,0.000389552
5,0_ATTN_attn_norm,0.000389552,0.0,4.2905e-05,0.000389552,0.000554691
6,0_q_a_linear,0.000554691,4.2905e-05,0.000729384,0.000899691,0.001347691
7,0_q_norm,0.001347691,0.0,0.000729384,0.0013941910000000001,0.0014241910000000002
8,0_q_b_linear,0.0014241910000000002,0.000729384,0.0070057669999999996,0.0015051910000000001,0.0070057669999999996
9,0_qb_rnorm,0.0070057669999999996,0.0,0.0070057669999999996,0.0070057669999999996,0.007168183999999999
10,0_q_rope,0.007168183999999999,0.0,0.0070057669999999996,0.007405433999999999,0.007533433999999999
11,0_kv_linear,0.007533433999999999,0.0070057669999999996,0.007463419999999999,0.007571183999999998,0.007683183999999998
12,0_kv_norm,0.007683183999999998,0.0,0.007463419999999999,0.007726183999999998,0.007731183999999998
13,0_kv_rope,0.007731183999999998,0.0,0.007463419999999999,0.007731183999999998,0.007732183999999998
14,0_hca_compressor_wkv,0.007732183999999998,0.007463419999999999,0.007921072999999999,0.008077183999999998,0.008301183999999998
15,0_hca_compressor_wgate,0.008301183999999998,0.007921072999999999,0.008836378999999998,0.008338933999999998,0.008836378999999998
16,0_hca_compressor_score_softmax,0.008836378999999998,0.0,0.008836378999999998,0.008881128999999998,0.008966215999999997
17,0_hca_compressor_kv_mul_score,0.008966215999999997,0.0,0.008836378999999998,0.009010965999999997,0.009012965999999997
18,0_hca_compressor_kv_reducesum,0.009012965999999997,0.0,0.008836378999999998,0.009103215999999997,0.009107215999999998
19,0_hca_compressor_kv_rmsnorm,0.009107215999999998,0.0,0.008836378999999998,0.009107215999999998,0.009112215999999998
20,0_hca_compressor_kv_rope,0.009112215999999998,0.0,0.008836378999999998,0.009112215999999998,0.009112715999999998
21,0_DV_FA_flash_attn,0.009112715999999998,0.0,0.008836378999999998,0.009112715999999998,0.016808716
22,0_inverse_rope,0.016808716,0.0,0.008836378999999998,0.016808716,0.016810716
23,0_wo_a_linear,0.016810716,0.008836378999999998,0.009882442999999998,0.016810716,0.018858716
24,0_wo_b_linear,0.018858716,0.009882442999999998,0.022884976999999997,0.019902716,0.023486716
25,0_ATTN_post_attnout,0.023486716,0.0,0.022884976999999997,0.023486716,0.023493716
26,0_ATTN_comb_residual,0.023493716,0.0,0.022884976999999997,0.023493716,0.023549716000000002
27,0_ATTN_comb_residual_reducesum,0.023549716000000002,0.0,0.022884976999999997,0.023549716000000002,0.023591716000000002
