op_index,op_name,op_type,cores,num_cores,partition,input_tensors,output_tensor,transform_ms,compute_ms,local_dram_ms,local_sram_ms,max_weight_capacity_per_core_bytes,max_kv_capacity_per_core_bytes,max_io_capacity_per_core_bytes,cumulative_weight_capacity_per_core_bytes,cumulative_kv_capacity_per_core_bytes,max_io_capacity_per_core_so_far_bytes,internal_comm_ms,op_latency_ms,step_latency_ms,compute_start_time_ms,prefetch_window_ms,prefetch_dram_hidden_ms,prefetch_sram_utilization_at_compute_start,prefetch_sram_full_time_ms,dram_stream_break_count,dram_restart_penalty_ms,exposed_time_after_step_ms,bottleneck,transform_comm_semantics,internal_comm_semantics,notes
0,0_ATTN_x_rsqrt,RMSNORM,0-63,64,2d_batch_hidden:8x8,residual=<missing>,"ATTN_x_rsqrt=2d:batch_size,hidden@0-63",0.000000000,0.000035000,0.000000000,0.000000000,0.0,0.0,7168.0,0.0,0.0,7168.0,0.000082052,0.000117052,0.000117052,0.000000000,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000117052,communication,residual:none(missing_input),allreduce(rms_stats_per_batch_shard),{'meaning': 'split batch and hidden; approximate allreduce RMS statistic'}
1,0_ATTN_hc_fn_linear,GEMM,0-31,32,input_split,residual=<missing>,ATTN_F=replicated@0-31,0.000000000,0.000056000,0.000094860,0.000000000,21504.0,0.0,7360.0,21504.0,0.0,7360.0,0.000074083,0.000130083,0.000130083,0.000117052,0.000117052,0.000094860,0.265348375,,0,0.000000000,0.000152276,communication,residual:none(missing_input),allreduce(output),{'meaning': 'split K/input features; row parallel; allreduce output'}
2,0_ATTN_F_rsqrt,ELEMENTWISE,0,1,batch_split,"ATTN_F=replicated@0-31; ATTN_x_rsqrt=2d:batch_size,hidden@0-63",ATTN_pre_post_comb=batch_size@0,0.000127000,0.000000500,0.000000000,0.000000000,0.0,0.0,384.0,21504.0,0.0,7360.0,0.000000000,0.000000500,0.000127500,0.000374135,0.000279276,0.000000000,0.633097188,,0,0.000000000,0.000279776,compute,ATTN_F:none(replicated_local_slice+redundant_compute_representative_group); ATTN_x_rsqrt:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split batch/tokens; preserve elementwise layout'}
3,0_ATTN_pre_x,ELEMENTWISE,0-63,64,hidden_split,previous=batch_size@0,chain_output=hidden@0-63,0.000000000,0.000007000,0.000000000,0.000000000,0.0,0.0,7168.0,21504.0,0.0,7360.0,0.000000000,0.000007000,0.000007000,0.000374635,0.000279776,0.000000000,0.634230651,,0,0.000000000,0.000286776,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'split semantic axis; preserve elementwise layout'}
4,0_ATTN_pre_x_reducesum,REDUCE_SUM,0-63,64,hidden_split,previous=hidden@0-63,chain_output=hidden@0-63,0.000000000,0.000005500,0.000000000,0.000000000,0.0,0.0,4480.0,21504.0,0.0,7360.0,0.000000000,0.000005500,0.000005500,0.000381635,0.000286776,0.000000000,0.650099130,,0,0.000000000,0.000292276,compute,previous:none(compatible_shards),none,{'meaning': 'split output hidden; reduce_dim is local'}
5,0_ATTN_attn_norm,RMSNORM,0-31,32,hidden_split,previous=hidden@0-63,attn_norm_output=hidden@0-31,0.000000000,0.000017500,0.000000000,0.000000000,0.0,0.0,3584.0,21504.0,0.0,7360.0,0.000065347,0.000082847,0.000082847,0.000387135,0.000292276,0.000000000,0.662567222,,0,0.000000000,0.000375123,communication,previous:none(compatible_shards+redundant_compute_representative_group),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
6,0_q_a_linear,GEMM,0-127,128,2d_batch_output:2x64,attn_norm_output=hidden@0-31,"chain_output=2d:batch_size,q_lora_rank@0-127",0.000060500,0.000224000,0.000758878,0.000000000,172032.0,0.0,28768.0,193536.0,0.0,28768.0,0.000000000,0.000323255,0.000383755,0.000530483,0.000435623,0.000435623,0.987524722,,0,0.000000000,0.000000000,local_dram,attn_norm_output:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'coarse 2D split on M and N; layout conversion may cost later'}
7,0_q_norm,RMSNORM,0-7,8,batch_split,"previous=2d:batch_size,q_lora_rank@0-127",q_lora_normed=batch_size@0-7,0.000067750,0.000015000,0.000000000,0.000000000,0.0,0.0,3072.0,193536.0,0.0,28768.0,0.000000000,0.000015000,0.000082750,0.000921488,0.000067750,0.000000000,0.153584216,,0,0.000000000,0.000082750,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split batch/tokens; full hidden per core'}
8,0_q_b_linear,GEMM,0-127,128,output_split,q_lora_normed=batch_size@0-7,chain_output=heads*head_dim@0-127,0.000097500,0.001536000,0.003469157,0.000000000,786432.0,0.0,16384.0,979968.0,0.0,28768.0,0.000000000,0.003288907,0.003386407,0.001033988,0.000180250,0.000180250,0.408613356,,0,0.000000000,0.000000000,local_dram,q_lora_normed:allgather(previous_shards_to_replicated+redundant_compute_representative_group),none,{'meaning': 'split N/output features; column parallel'}
9,0_qb_rnorm,RMSNORM,0-127,128,hidden_split,previous=heads*head_dim@0-127,query_heads_normed=heads*head_dim@0-127,0.000000000,0.000040000,0.000000000,0.000000000,0.0,0.0,8192.0,979968.0,0.0,28768.0,0.000110486,0.000150486,0.000150486,0.004322894,0.000000000,0.000000000,0.000000000,,0,0.000000000,0.000150486,communication,previous:none(compatible_shards),allreduce(rms_stats),{'meaning': 'split hidden; allreduce RMS statistic'}
10,0_q_rope,ELEMENTWISE,0,1,batch_split,query_heads_normed=heads*head_dim@0-127,chain_output=batch_size@0,0.000223750,0.000128000,0.000000000,0.000000000,0.0,0.0,131072.0,979968.0,0.0,131072.0,0.000000000,0.000128000,0.000351750,0.004697130,0.000374236,0.000000000,0.848365455,,0,0.000000000,0.000502236,compute,query_heads_normed:alltoall_reshuffle(sharded_to_sharded_or_replicated),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
11,0_kv_linear,GEMM,0-127,128,2d_batch_output:2x64,attn_norm_output=hidden@0-31,"chain_output=2d:batch_size,head_dim@0-127",0.000060500,0.000112000,0.000252959,0.000000000,57344.0,0.0,28704.0,1037312.0,0.0,131072.0,0.000000000,0.000112000,0.000172500,0.004885630,0.000441126,0.000252959,1.000000000,0.004764020,0,0.000000000,0.000421777,compute,attn_norm_output:alltoall_reshuffle(sharded_to_sharded_or_replicated+redundant_compute_representative_group),none,{'meaning': 'coarse 2D split on M and N; layout conversion may cost later'}
12,0_kv_norm,RMSNORM,0-7,8,batch_split,"previous=2d:batch_size,head_dim@0-127",window_kv_normed=batch_size@0-7,0.000065000,0.000005000,0.000000000,0.000000000,0.0,0.0,1024.0,1037312.0,0.0,131072.0,0.000000000,0.000005000,0.000070000,0.005062630,0.000441126,0.000000000,1.000000000,0.005016980,0,0.000000000,0.000491777,compute,previous:alltoall_reshuffle(sharded_to_sharded_or_replicated),none,{'meaning': 'split batch/tokens; full hidden per core'}
13,0_kv_rope,ELEMENTWISE,0,1,batch_split,window_kv_normed=batch_size@0-7,chain_output=batch_size@0,0.000000000,0.000001000,0.000000000,0.000000000,0.0,0.0,1024.0,1037312.0,0.0,131072.0,0.000000000,0.000001000,0.000001000,0.005067630,0.000441126,0.000000000,1.000000000,0.005016980,0,0.000000000,0.000492777,compute,window_kv_normed:none(compatible_shards+redundant_compute_representative_group),gather(output_for_remote),{'meaning': 'split batch/tokens; preserve elementwise layout'}
