op_index,op_name,transform_start_ms,dram_start_ms,dram_end_ms,compute_start_ms,op_end_ms
0,0_ATTN_x_rsqrt,0.0,0.0,0.0,0.0,6.5535e-05
1,0_ATTN_hc_fn_linear,6.5535e-05,6.5535e-05,0.000258087,6.5535e-05,0.000340399
2,0_ATTN_F_rsqrt,0.000340399,0.0,0.000340399,0.000340399,0.00034089900000000003
3,0_ATTN_pre_x,0.000340899,0.0,0.000340899,0.000340899,0.000341899
4,0_ATTN_pre_x_reducesum,0.000341899,0.0,0.000341899,0.000341899,0.000342899
5,0_ATTN_attn_norm,0.000342899,0.0,0.000342899,0.000342899,0.000412899
6,0_q_a_linear,0.000412899,0.000412899,0.0008993989999999999,0.000412899,0.0008993989999999999
7,0_q_norm,0.000899399,0.0,0.000964399,0.000964399,0.000979399
8,0_q_b_linear,0.000979399,0.000979399,0.004201899,0.000979399,0.004201899
9,0_qb_rnorm,0.004201899,0.0,0.004285274,0.004285274,0.004370317
10,0_q_rope,0.004370318,0.0,0.004370318,0.004370318,0.004386318
11,0_kv_linear,0.004386318,0.004386318,0.004648818,0.004386318,0.004648818
12,0_kv_norm,0.004648818,0.0,0.004713818,0.004713818,0.004718818
13,0_kv_rope,0.004718818,0.0,0.004718818,0.004718818,0.004719317999999999
14,0_hca_compressor_wkv,0.004719318,0.004719318,0.005093818,0.004719318,0.005093818
15,0_hca_compressor_wgate,0.005093818,0.005093818,0.005468318,0.005093818,0.005468318
16,0_hca_compressor_score_softmax,0.005468318,0.0,0.005533318,0.005533318,0.005618405
17,0_hca_compressor_kv_mul_score,0.0056184040000000005,0.0,0.005683404,0.005683404,0.005685404000000001
18,0_hca_compressor_kv_reducesum,0.005685404,0.0,0.005775654,0.005775654,0.005777654
19,0_hca_compressor_kv_rmsnorm,0.005777654,0.0,0.005777654,0.005777654,0.005782654
20,0_hca_compressor_kv_rope,0.005782654,0.0,0.005782654,0.005782654,0.0057831539999999996
21,0_DV_FA_flash_attn,0.005783154,0.0,0.005783154,0.005783154,0.007416154
22,0_inverse_rope,0.007416154,0.0,0.007416154,0.007416154,0.007416654
23,0_wo_a_linear,0.007416654,0.007416654,0.007695154,0.007416654,0.007695154
24,0_wo_b_linear,0.007695154,0.007876154,0.011610654,0.007876154,0.011610654
25,0_ATTN_post_attnout,0.011610654,0.0,0.011610654,0.011610654,0.011611154
26,0_ATTN_comb_residual,0.011611154,0.0,0.011611154,0.011611154,0.011614654
27,0_ATTN_comb_residual_reducesum,0.011614654,0.0,0.011614654,0.011614654,0.011617654
28,0_ATTN_add,0.011617654,0.0,0.011617654,0.011617654,0.011618653999999999
29,0_FFN_x_rsqrt,0.011618654,0.0,0.011618654,0.011618654,0.011684189000000001
30,0_FFN_hc_fn_linear,0.011684189,0.011684189,0.011876741,0.011684189,0.011959052999999999
31,0_FFN_F_rsqrt,0.011959054,0.0,0.011959054,0.011959054,0.011959554
32,0_FFN_pre_x,0.011959554,0.0,0.011959554,0.011959554,0.011960554
33,0_FFN_pre_x_reducesum,0.011960554,0.0,0.011960554,0.011960554,0.011961554
34,0_FFN_ffn_norm,0.011961554,0.0,0.011961554,0.011961554,0.012031554
35,0_gate_linear,0.012031554,0.012031554,0.012266054,0.012031554,0.012266054
36,0_gate_topk,0.012266053999999998,0.0,0.012331054,0.012331054,0.012333054
37,0_LPU_FFN,0.012333054,0.0,0.012333054,0.012333054,0.014021554
38,0_FFN_post_attnout,0.014021554,0.0,0.014021554,0.014021554,0.014022054
39,0_FFN_comb_residual,0.014022054,0.0,0.014022054,0.014022054,0.014025554
40,0_FFN_comb_residual_reducesum,0.014025554,0.0,0.014025554,0.014025554,0.014028554
41,0_FFN_add_layer_END,0.014028554,0.0,0.014028554,0.014028554,0.014029554
42,1_ATTN_x_rsqrt,0.014029554,0.0,0.014029554,0.014029554,0.014095089
43,1_ATTN_hc_fn_linear,0.014095088,0.014095088,0.01428764,0.014095088,0.014369952
44,1_ATTN_F_rsqrt,0.014369953,0.0,0.014369953,0.014369953,0.014370453
45,1_ATTN_pre_x,0.014370453,0.0,0.014370453,0.014370453,0.014371453
46,1_ATTN_pre_x_reducesum,0.014371453,0.0,0.014371453,0.014371453,0.014372452999999999
47,1_ATTN_attn_norm,0.014372453,0.0,0.014372453,0.014372453,0.014442453000000001
48,1_q_a_linear,0.014442453,0.014442453,0.014928953,0.014442453,0.014928953
49,1_q_norm,0.014928953,0.0,0.014993953,0.014993953,0.015008953
50,1_q_b_linear,0.015008953,0.015008953,0.018231453,0.015008953,0.018231453
51,1_qb_rnorm,0.018231452999999998,0.0,0.018314828,0.018314828,0.018399870999999998
52,1_q_rope,0.018399871,0.0,0.018399871,0.018399871,0.018415871
53,1_kv_linear,0.018415871,0.018415871,0.018678371,0.018415871,0.018678371
54,1_kv_norm,0.018678371000000003,0.0,0.018743371,0.018743371,0.018748371000000003
55,1_kv_rope,0.018748371,0.0,0.018748371,0.018748371,0.018748871
56,1_hca_compressor_wkv,0.018748871,0.018748871,0.019123371,0.018748871,0.019123371
57,1_hca_compressor_wgate,0.019123371,0.019123371,0.019497871,0.019123371,0.019497871
58,1_hca_compressor_score_softmax,0.019497871,0.0,0.019562871,0.019562871,0.019647957999999997
59,1_hca_compressor_kv_mul_score,0.019647958,0.0,0.019712958,0.019712958,0.019714957999999998
60,1_hca_compressor_kv_reducesum,0.019714958,0.0,0.019805208,0.019805208,0.019807208
61,1_hca_compressor_kv_rmsnorm,0.019807208,0.0,0.019807208,0.019807208,0.019812208
62,1_hca_compressor_kv_rope,0.019812208,0.0,0.019812208,0.019812208,0.019812708000000002
63,1_DV_FA_flash_attn,0.019812708,0.0,0.019812708,0.019812708,0.021445707999999997
64,1_inverse_rope,0.021445708,0.0,0.021445708,0.021445708,0.021446208
65,1_wo_a_linear,0.021446208,0.021446208,0.021724708000000002,0.021446208,0.021724708000000002
66,1_wo_b_linear,0.021724708,0.021905708,0.025640207999999998,0.021905708,0.025640207999999998
67,1_ATTN_post_attnout,0.025640208,0.0,0.025640208,0.025640208,0.025640708
68,1_ATTN_comb_residual,0.025640708,0.0,0.025640708,0.025640708,0.025644208
69,1_ATTN_comb_residual_reducesum,0.025644208,0.0,0.025644208,0.025644208,0.025647208
70,1_ATTN_add,0.025647208,0.0,0.025647208,0.025647208,0.025648208000000002
71,1_FFN_x_rsqrt,0.025648208,0.0,0.025648208,0.025648208,0.025713742999999997
72,1_FFN_hc_fn_linear,0.025713743,0.025713743,0.025906295,0.025713743,0.025988607
73,1_FFN_F_rsqrt,0.025988607,0.0,0.025988607,0.025988607,0.025989107
74,1_FFN_pre_x,0.025989107,0.0,0.025989107,0.025989107,0.025990107000000002
75,1_FFN_pre_x_reducesum,0.025990107,0.0,0.025990107,0.025990107,0.025991107
76,1_FFN_ffn_norm,0.025991107,0.0,0.025991107,0.025991107,0.026061107
77,1_gate_linear,0.026061107,0.026061107,0.026295607,0.026061107,0.026295607
78,1_gate_topk,0.026295607000000002,0.0,0.026360607,0.026360607,0.026362607
79,1_LPU_FFN,0.026362607,0.0,0.026362607,0.026362607,0.028051107
80,1_FFN_post_attnout,0.028051107,0.0,0.028051107,0.028051107,0.028051607
81,1_FFN_comb_residual,0.028051607,0.0,0.028051607,0.028051607,0.028055107
82,1_FFN_comb_residual_reducesum,0.028055107,0.0,0.028055107,0.028055107,0.028058107
83,1_FFN_add_layer_END,0.028058107,0.0,0.028058107,0.028058107,0.028059107
84,2_ATTN_x_rsqrt,0.028059107,0.0,0.028059107,0.028059107,0.028124642
85,2_ATTN_hc_fn_linear,0.028124642,0.028124642,0.028317193999999997,0.028124642,0.028399505999999998
86,2_ATTN_F_rsqrt,0.028399507,0.0,0.028399507,0.028399507,0.028400007
87,2_ATTN_pre_x,0.028400007,0.0,0.028400007,0.028400007,0.028401007000000002
88,2_ATTN_pre_x_reducesum,0.028401007,0.0,0.028401007,0.028401007,0.028402007
89,2_ATTN_attn_norm,0.028402007,0.0,0.028402007,0.028402007,0.028472007
90,2_q_a_linear,0.028472007,0.028472007,0.028958507,0.028472007,0.028958507
91,2_q_norm,0.028958507,0.0,0.029023507,0.029023507,0.029038507
92,2_q_b_linear,0.029038507,0.029038507,0.032261007,0.029038507,0.032261007
93,2_qb_rnorm,0.032261007,0.0,0.032344382,0.032344382,0.032429425
94,2_q_rope,0.032429425,0.0,0.032429425,0.032429425,0.032445425
95,2_kv_linear,0.032445425,0.032445425,0.032707925,0.032445425,0.032707925
96,2_kv_norm,0.032707925,0.0,0.032772925,0.032772925,0.032777925
97,2_kv_rope,0.032777925,0.0,0.032777925,0.032777925,0.032778425
98,2_csa_compressor_wkv,0.032778425,0.032778425,0.033376925,0.032778425,0.033376925
99,2_csa_compressor_wgate,0.033376925,0.033376925,0.033975425000000004,0.033376925,0.033975425000000004
100,2_csa_compressor_score_softmax,0.033975425,0.0,0.034040425,0.034040425,0.034072941999999995
101,2_csa_compressor_kv_mul_score,0.034072942999999994,0.0,0.034137943,0.034137943,0.034145943
102,2_csa_compressor_kv_reducesum,0.034145943,0.0,0.034145943,0.034145943,0.034146443
103,2_csa_compressor_kv_rmsnorm,0.034146443,0.0,0.034146443,0.034146443,0.034151443
104,2_csa_compressor_kv_rope,0.034151443,0.0,0.034151443,0.034151443,0.034151943
105,2_indexer_compressor_wkv,0.034151943,0.034151943,0.034414442999999996,0.034151943,0.034414442999999996
106,2_indexer_compressor_wgate,0.034414443,0.034414443,0.034676943,0.034414443,0.034676943
107,2_indexer_compressor_score_softmax,0.034676942999999995,0.0,0.034741943,0.034741943,0.034751943
108,2_indexer_compressor_kv_mul_score,0.034751943,0.0,0.034816943,0.034816943,0.034818943000000005
109,2_indexer_compressor_kv_reducesum,0.034818943,0.0,0.034818943,0.034818943,0.034819443
110,2_indexer_compressor_kv_rmsnorm,0.034819443,0.0,0.034819443,0.034819443,0.034820943
111,2_indexer_compressor_kv_rope,0.034820943,0.0,0.034820943,0.034820943,0.034821443
112,2_indexer_compressor_kv_hadamard,0.034821443,0.0,0.034821443,0.034821443,0.034823443
113,2_indexer_q_linear,0.034823443,0.034823443,0.035357943,0.034823443,0.035357943
114,2_indexer_qb_rope,0.035357943,0.0,0.035357943,0.035357943,0.035358443
115,2_indexer_q_hadamard,0.035358443,0.0,0.035358443,0.035358443,0.03546694300000001
116,2_indexer_weights_proj,0.035466943,0.035466943,0.035645443,0.035466943,0.035688443
117,2_B200_indexer_score,0.035688443,0.0,0.035688443,0.035688443,0.037830443
118,2_B200_indexer_topk,0.037830443,0.0,0.037830443,0.037830443,0.037915542999999996
119,2_DV_FA_flash_attn,0.037915543,0.0,0.037915543,0.037915543,0.038903443
120,2_inverse_rope,0.038903443,0.0,0.038903443,0.038903443,0.038903943
121,2_wo_a_linear,0.038903943,0.038903943,0.039182443000000004,0.038903943,0.039182443000000004
122,2_wo_b_linear,0.039182443,0.039363443,0.043097943,0.039363443,0.043097943
123,2_ATTN_post_attnout,0.043097943,0.0,0.043097943,0.043097943,0.043098443
124,2_ATTN_comb_residual,0.043098443,0.0,0.043098443,0.043098443,0.043101943
125,2_ATTN_comb_residual_reducesum,0.043101943,0.0,0.043101943,0.043101943,0.043104943
126,2_ATTN_add,0.043104943,0.0,0.043104943,0.043104943,0.043105943
127,2_FFN_x_rsqrt,0.043105943,0.0,0.043105943,0.043105943,0.043171478
128,2_FFN_hc_fn_linear,0.043171477,0.043171477,0.043364029,0.043171477,0.043446341
129,2_FFN_F_rsqrt,0.043446342,0.0,0.043446342,0.043446342,0.043446842
130,2_FFN_pre_x,0.043446842,0.0,0.043446842,0.043446842,0.043447842
131,2_FFN_pre_x_reducesum,0.043447842,0.0,0.043447842,0.043447842,0.043448842
132,2_FFN_ffn_norm,0.043448842,0.0,0.043448842,0.043448842,0.043518842
133,2_gate_linear,0.043518842,0.043518842,0.043753342,0.043518842,0.043753342
134,2_gate_topk,0.043753342,0.0,0.043818342,0.043818342,0.043820342000000005
135,2_LPU_FFN,0.043820342,0.0,0.043820342,0.043820342,0.045508842
